{'exam_id': 'PHA20241109056', 'evaluator_id': '056VPEC', 'ex1_response': '3', 'ex1_lexical': '2', 'ex1_grammar': '2', 'ex2_response': '2', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '3', 'ex12_phoninter': '3', 'total_score': 20, 'total_percentage': 0.8, 'result': 'True', 'filename': 'PHA20241109056_anonym_audio', 'start': 128, 'end': 200832, 'ex1_response-predicted': {'2': 0.25804540514945984, '3': 0.7419545650482178}, 'ex1_lexical-predicted': {'0': 0.11164018511772156, '1': 0.20193231105804443, '2': 0.316329687833786, '3': 0.3700978457927704}, 'ex1_grammar-predicted': {'0': 0.15791159868240356, '1': 0.24924996495246887, '2': 0.4301924407482147, '3': 0.16264604032039642}, 'ex2_response-predicted': {'1': 0.13804325461387634, '2': 0.41252365708351135, '3': 0.4494330585002899}, 'ex2_questions-predicted': {'0': 0.09747515618801117, '1': 0.11954575031995773, '2': 0.27324238419532776, '3': 0.5097367167472839}, 'ex2_lexical-predicted': {'0': 0.12199562788009644, '1': 0.23557651042938232, '2': 0.29751503467559814, '3': 0.3449128568172455}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.1629011482000351, '3': 0.5663641691207886, '4': 0.27073463797569275}, 'result-predicted': {'False': 0.24798743426799774, 'True': 0.7520125508308411}, 'ex2_grammar-predicted+prob': {'0': 3.4345239400863647, '1': 4.6333247274160385, '2': 8.5679652094841, '3': 6.3641862869262695}}
{'exam_id': 'PHA20241109074', 'evaluator_id': '272AHAL', 'ex1_response': '3', 'ex1_lexical': '2', 'ex1_grammar': '2', 'ex2_response': '3', 'ex2_questions': '2', 'ex2_lexical': '3', 'ex2_grammar': '1', 'ex12_phoninter': '3', 'total_score': 19, 'total_percentage': 0.76, 'result': 'True', 'filename': 'PHA20241109074_anonym_audio', 'start': 128, 'end': 242528, 'ex1_response-predicted': {'2': 0.22807052731513977, '3': 0.7719295024871826}, 'ex1_lexical-predicted': {'0': 0.1303551346063614, '1': 0.1741531938314438, '2': 0.33993640542030334, '3': 0.3555552065372467}, 'ex1_grammar-predicted': {'0': 0.14067333936691284, '1': 0.276671826839447, '2': 0.4065552055835724, '3': 0.17609962821006775}, 'ex2_response-predicted': {'1': 0.12511208653450012, '2': 0.3877316415309906, '3': 0.4871562719345093}, 'ex2_questions-predicted': {'0': 0.07998423278331757, '1': 0.1115906685590744, '2': 0.2228747457265854, '3': 0.5855504274368286}, 'ex2_lexical-predicted': {'0': 0.11733691394329071, '1': 0.17713545262813568, '2': 0.3130148649215698, '3': 0.3925127387046814}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.16497820615768433, '3': 0.5575693249702454, '4': 0.2774525284767151}, 'result-predicted': {'False': 0.2012632042169571, 'True': 0.7987368106842041}, 'ex2_grammar-predicted+prob': {'0': 3.106546461582184, '1': 3.9561715722084045, '2': 9.601587921380997, '3': 6.335693776607513}}
{'exam_id': 'PHA20241109013', 'evaluator_id': '241TSTO', 'ex1_response': '2', 'ex1_lexical': '2', 'ex1_grammar': '0', 'ex2_response': '2', 'ex2_questions': '2', 'ex2_lexical': '1', 'ex2_grammar': '1', 'ex12_phoninter': '3', 'total_score': 13, 'total_percentage': 0.52, 'result': 'False', 'filename': 'PHA20241109013_anonym_audio', 'start': 145120, 'end': 496896, 'ex1_response-predicted': {'2': 0.2393493503332138, '3': 0.7606506943702698}, 'ex1_lexical-predicted': {'0': 0.1276784986257553, '1': 0.19591420888900757, '2': 0.35012996196746826, '3': 0.32627731561660767}, 'ex1_grammar-predicted': {'0': 0.15002426505088806, '1': 0.25073784589767456, '2': 0.4289473593235016, '3': 0.17029055953025818}, 'ex2_response-predicted': {'1': 0.1353568583726883, '2': 0.42556706070899963, '3': 0.4390760362148285}, 'ex2_questions-predicted': {'0': 0.08040667325258255, '1': 0.11389099061489105, '2': 0.2437409609556198, '3': 0.5619614124298096}, 'ex2_lexical-predicted': {'0': 0.11798159778118134, '1': 0.200301855802536, '2': 0.3131251335144043, '3': 0.36859142780303955}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.18306730687618256, '3': 0.5197307467460632, '4': 0.2972019612789154}, 'result-predicted': {'False': 0.21746215224266052, 'True': 0.7825378775596619}, 'ex2_grammar-predicted+prob': {'0': 4.95786751806736, '1': 6.3043957352638245, '2': 13.504631340503693, '3': 9.23310536146164}}
{'exam_id': 'PHA20241109052', 'evaluator_id': '008JHYK', 'ex1_response': '3', 'ex1_lexical': '2', 'ex1_grammar': '2', 'ex2_response': '2', 'ex2_questions': '3', 'ex2_lexical': '2', 'ex2_grammar': '0', 'ex12_phoninter': '4', 'total_score': 18, 'total_percentage': 0.72, 'result': 'True', 'filename': 'PHA20241109052_anonym_audio', 'start': 128, 'end': 275792, 'ex1_response-predicted': {'2': 0.2541385591030121, '3': 0.7458614110946655}, 'ex1_lexical-predicted': {'0': 0.1275206357240677, '1': 0.19443386793136597, '2': 0.34018149971961975, '3': 0.3378639817237854}, 'ex1_grammar-predicted': {'0': 0.15359090268611908, '1': 0.25657352805137634, '2': 0.4207778871059418, '3': 0.1690576821565628}, 'ex2_response-predicted': {'1': 0.13250719010829926, '2': 0.4154902696609497, '3': 0.45200252532958984}, 'ex2_questions-predicted': {'0': 0.07671651989221573, '1': 0.11010617017745972, '2': 0.23569852113723755, '3': 0.5774787664413452}, 'ex2_lexical-predicted': {'0': 0.11695568263530731, '1': 0.17991045117378235, '2': 0.3263329565525055, '3': 0.37680092453956604}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.17443576455116272, '3': 0.5625358819961548, '4': 0.26302841305732727}, 'result-predicted': {'False': 0.21576356887817383, 'True': 0.7842364311218262}, 'ex2_grammar-predicted+prob': {'0': 2.7353287637233734, '1': 3.466220274567604, '2': 8.288766920566559, '3': 5.509684473276138}}
{'exam_id': 'PHA20241109067', 'evaluator_id': '003MSVR', 'ex1_response': '3', 'ex1_lexical': '3', 'ex1_grammar': '3', 'ex2_response': '3', 'ex2_questions': '3', 'ex2_lexical': '3', 'ex2_grammar': '3', 'ex12_phoninter': '4', 'total_score': 25, 'total_percentage': 1.0, 'result': 'True', 'filename': 'PHA20241109067_anonym_audio', 'start': 128, 'end': 229648, 'ex1_response-predicted': {'2': 0.25664564967155457, '3': 0.743354320526123}, 'ex1_lexical-predicted': {'0': 0.1181640699505806, '1': 0.17544713616371155, '2': 0.37708646059036255, '3': 0.3293024003505707}, 'ex1_grammar-predicted': {'0': 0.15277518332004547, '1': 0.2755615711212158, '2': 0.42638152837753296, '3': 0.14528167247772217}, 'ex2_response-predicted': {'1': 0.12851731479167938, '2': 0.4200567305088043, '3': 0.4514259397983551}, 'ex2_questions-predicted': {'0': 0.10280250757932663, '1': 0.1086341142654419, '2': 0.2697925865650177, '3': 0.5187707543373108}, 'ex2_lexical-predicted': {'0': 0.12623770534992218, '1': 0.18556784093379974, '2': 0.33544617891311646, '3': 0.35274821519851685}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.1517179161310196, '3': 0.5756610631942749, '4': 0.2726209759712219}, 'result-predicted': {'False': 0.22729778289794922, 'True': 0.7727022171020508}, 'ex2_grammar-predicted+prob': {'0': 3.73290191590786, '1': 5.03725691139698, '2': 10.408940702676773, '3': 6.820900321006775}}
{'exam_id': 'PHA20241109061', 'evaluator_id': '003MSVR', 'ex1_response': '2', 'ex1_lexical': '1', 'ex1_grammar': '0', 'ex2_response': '1', 'ex2_questions': '2', 'ex2_lexical': '1', 'ex2_grammar': '0', 'ex12_phoninter': '2', 'total_score': 9, 'total_percentage': 0.36, 'result': 'False', 'filename': 'PHA20241109061_anonym_audio', 'start': 128, 'end': 291872, 'ex1_response-predicted': {'2': 0.25580817461013794, '3': 0.7441918849945068}, 'ex1_lexical-predicted': {'0': 0.12024573981761932, '1': 0.17914921045303345, '2': 0.36705225706100464, '3': 0.3335527777671814}, 'ex1_grammar-predicted': {'0': 0.15272018313407898, '1': 0.2764055132865906, '2': 0.4285235106945038, '3': 0.14235083758831024}, 'ex2_response-predicted': {'1': 0.12166408449411392, '2': 0.4265196621417999, '3': 0.45181626081466675}, 'ex2_questions-predicted': {'0': 0.09833239763975143, '1': 0.10115701705217361, '2': 0.2445065975189209, '3': 0.556003987789154}, 'ex2_lexical-predicted': {'0': 0.12371238321065903, '1': 0.19065290689468384, '2': 0.349595844745636, '3': 0.3360389173030853}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.16284725069999695, '3': 0.5711749196052551, '4': 0.2659778892993927}, 'result-predicted': {'False': 0.2247353047132492, 'True': 0.7752646803855896}, 'ex2_grammar-predicted+prob': {'0': 4.954485833644867, '1': 6.790299952030182, '2': 11.206890016794205, '3': 8.048323944211006}}
{'exam_id': 'PHA20241109009', 'evaluator_id': '241TSTO', 'ex1_response': '3', 'ex1_lexical': '2', 'ex1_grammar': '3', 'ex2_response': '3', 'ex2_questions': '3', 'ex2_lexical': '3', 'ex2_grammar': '3', 'ex12_phoninter': '3', 'total_score': 23, 'total_percentage': 0.92, 'result': 'True', 'filename': 'PHA20241109009_anonym_audio', 'start': 128, 'end': 304704, 'ex1_response-predicted': {'2': 0.2696620523929596, '3': 0.7303379774093628}, 'ex1_lexical-predicted': {'0': 0.11800716817378998, '1': 0.18522123992443085, '2': 0.3729260265827179, '3': 0.32384559512138367}, 'ex1_grammar-predicted': {'0': 0.15721432864665985, '1': 0.2795814573764801, '2': 0.4183714985847473, '3': 0.14483262598514557}, 'ex2_response-predicted': {'1': 0.12338782846927643, '2': 0.41660115122795105, '3': 0.46001100540161133}, 'ex2_questions-predicted': {'0': 0.10198186337947845, '1': 0.10999979823827744, '2': 0.2642626166343689, '3': 0.5237557291984558}, 'ex2_lexical-predicted': {'0': 0.131666362285614, '1': 0.1933353841304779, '2': 0.3282729387283325, '3': 0.34672531485557556}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.15924565494060516, '3': 0.566507875919342, '4': 0.2742464542388916}, 'result-predicted': {'False': 0.24148939549922943, 'True': 0.7585106492042542}, 'ex2_grammar-predicted+prob': {'0': 3.249057650566101, '1': 4.360405147075653, '2': 8.635498434305191, '3': 5.755039006471634}}
{'exam_id': 'PHA20241109068', 'evaluator_id': '003MSVR', 'ex1_response': '3', 'ex1_lexical': '3', 'ex1_grammar': '2', 'ex2_response': '3', 'ex2_questions': '3', 'ex2_lexical': '3', 'ex2_grammar': '3', 'ex12_phoninter': '4', 'total_score': 24, 'total_percentage': 0.96, 'result': 'True', 'filename': 'PHA20241109068_anonym_audio', 'start': 448, 'end': 328768, 'ex1_response-predicted': {'2': 0.26578518748283386, '3': 0.7342147827148438}, 'ex1_lexical-predicted': {'0': 0.11842980235815048, '1': 0.1804516762495041, '2': 0.360099732875824, '3': 0.34101879596710205}, 'ex1_grammar-predicted': {'0': 0.17557033896446228, '1': 0.2532488703727722, '2': 0.40991103649139404, '3': 0.16126981377601624}, 'ex2_response-predicted': {'1': 0.1406320035457611, '2': 0.4241768717765808, '3': 0.4351910948753357}, 'ex2_questions-predicted': {'0': 0.09114866703748703, '1': 0.11427023261785507, '2': 0.26516786217689514, '3': 0.5294132232666016}, 'ex2_lexical-predicted': {'0': 0.11561711132526398, '1': 0.18794019520282745, '2': 0.33717310428619385, '3': 0.35926955938339233}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.15876084566116333, '3': 0.5431466698646545, '4': 0.29809248447418213}, 'result-predicted': {'False': 0.22888821363449097, 'True': 0.771111786365509}, 'ex2_grammar-predicted+prob': {'0': 3.9613029062747955, '1': 5.555598825216293, '2': 10.909501612186432, '3': 7.573596656322479}}
{'exam_id': 'PHA20241109012', 'evaluator_id': '241TSTO', 'ex1_response': '3', 'ex1_lexical': '3', 'ex1_grammar': '1', 'ex2_response': '3', 'ex2_questions': '3', 'ex2_lexical': '3', 'ex2_grammar': '3', 'ex12_phoninter': '3', 'total_score': 22, 'total_percentage': 0.88, 'result': 'True', 'filename': 'PHA20241109012_anonym_audio', 'start': 128, 'end': 197312, 'ex1_response-predicted': {'2': 0.2778647243976593, '3': 0.7221353054046631}, 'ex1_lexical-predicted': {'0': 0.11995100229978561, '1': 0.18061813712120056, '2': 0.38138967752456665, '3': 0.31804123520851135}, 'ex1_grammar-predicted': {'0': 0.15640944242477417, '1': 0.2433186173439026, '2': 0.4402705132961273, '3': 0.16000136733055115}, 'ex2_response-predicted': {'1': 0.13575869798660278, '2': 0.42568573355674744, '3': 0.4385555386543274}, 'ex2_questions-predicted': {'0': 0.08475571870803833, '1': 0.11070433259010315, '2': 0.23236703872680664, '3': 0.5721728801727295}, 'ex2_lexical-predicted': {'0': 0.11838357895612717, '1': 0.19551536440849304, '2': 0.3262297511100769, '3': 0.3598712682723999}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.15289463102817535, '3': 0.5806926488876343, '4': 0.26641276478767395}, 'result-predicted': {'False': 0.22888821363449097, 'True': 0.771111786365509}, 'ex2_grammar-predicted+prob': {'0': 4.030165284872055, '1': 5.763641342520714, '2': 11.44702559709549, '3': 7.7591676115989685}}
{'exam_id': 'PHA20241109018', 'evaluator_id': '228IPAN', 'ex1_response': '2', 'ex1_lexical': '3', 'ex1_grammar': '2', 'ex2_response': '2', 'ex2_questions': '2', 'ex2_lexical': '2', 'ex2_grammar': '1', 'ex12_phoninter': '3', 'total_score': 17, 'total_percentage': 0.68, 'result': 'True', 'filename': 'PHA20241109018_anonym_audio', 'start': 128, 'end': 257488, 'ex1_response-predicted': {'2': 0.2408638745546341, '3': 0.7591361403465271}, 'ex1_lexical-predicted': {'0': 0.11109693348407745, '1': 0.19113989174365997, '2': 0.3636507987976074, '3': 0.33411234617233276}, 'ex1_grammar-predicted': {'0': 0.12678192555904388, '1': 0.2615087330341339, '2': 0.4466368854045868, '3': 0.1650724858045578}, 'ex2_response-predicted': {'1': 0.11006972193717957, '2': 0.4414346218109131, '3': 0.4484957158565521}, 'ex2_questions-predicted': {'0': 0.07860054820775986, '1': 0.09625639021396637, '2': 0.24887892603874207, '3': 0.5762641429901123}, 'ex2_lexical-predicted': {'0': 0.1010483056306839, '1': 0.2086324691772461, '2': 0.3074743449687958, '3': 0.38284486532211304}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.16447587311267853, '3': 0.582406222820282, '4': 0.2531178593635559}, 'result-predicted': {'False': 0.2158462107181549, 'True': 0.7841538190841675}, 'ex2_grammar-predicted+prob': {'0': 3.853170059621334, '1': 4.847452327609062, '2': 10.744383096694946, '3': 8.55499455332756}}
{'exam_id': 'PHA20241109058', 'evaluator_id': '056VPEC', 'ex1_response': '2', 'ex1_lexical': '0', 'ex1_grammar': '0', 'ex2_response': '1', 'ex2_questions': '0', 'ex2_lexical': '0', 'ex2_grammar': '0', 'ex12_phoninter': '2', 'total_score': 5, 'total_percentage': 0.2, 'result': 'False', 'filename': 'PHA20241109058_anonym_audio', 'start': 128, 'end': 216288, 'ex1_response-predicted': {'2': 0.27033573389053345, '3': 0.7296642661094666}, 'ex1_lexical-predicted': {'0': 0.13060824573040009, '1': 0.2180079221725464, '2': 0.35106515884399414, '3': 0.3003185987472534}, 'ex1_grammar-predicted': {'0': 0.1558983027935028, '1': 0.27752891182899475, '2': 0.3824756145477295, '3': 0.18409718573093414}, 'ex2_response-predicted': {'1': 0.11565978825092316, '2': 0.4194662868976593, '3': 0.4648739695549011}, 'ex2_questions-predicted': {'0': 0.08346323668956757, '1': 0.12365218997001648, '2': 0.24195152521133423, '3': 0.5509330630302429}, 'ex2_lexical-predicted': {'0': 0.10792090743780136, '1': 0.22706449031829834, '2': 0.2923584282398224, '3': 0.3726562261581421}, 'ex2_grammar-predicted': '2', 'ex12_phoninter-predicted': {'2': 0.1892552524805069, '3': 0.5192440152168274, '4': 0.2915007174015045}, 'result-predicted': {'False': 0.2507292628288269, 'True': 0.7492707371711731}, 'ex2_grammar-predicted+prob': {'0': 7.167588397860527, '1': 9.611146718263626, '2': 12.701045900583267, '3': 9.52021899819374}}
